Código;Municipio;Estado fiscal;Último cierre incorporado;Comparable junio 2026;Faltantes específicos;Revisión de portal;Alcance de la búsqueda
06616;Pellegrini;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06623;Pergamino;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06630;Pila;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06638;Pilar;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06644;Pinamar;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Agricultura, ganaderia y pesca;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06648;Presidente Perón;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Agricultura, ganaderia y pesca;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06651;Puan;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06655;Punta Indio;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06658;Quilmes;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06665;Ramallo;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06672;Rauch;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06679;Rivadavia;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06686;Rojas;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06693;Roque Pérez;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06700;Saavedra;Otro período;2025-12-30;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta incorporada con cierre al 2025-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06707;Saladillo;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06721;Salliqueló;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06714;Salto;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06728;San Andrés de Giles;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06735;San Antonio de Areco;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06742;San Cayetano;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06749;San Fernando;Otro período;2025-12-30;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;Cuenta incorporada con cierre al 2025-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06756;San Isidro;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06760;San Miguel;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06763;San Nicolás;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06770;San Pedro;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06778;San Vicente;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06784;Suipacha;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06791;Tandil;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06798;Tapalqué;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Empleo industrial diciembre de 2025: reservado o sin dato | Cambio industrial 2023–2025: falta al menos un corte publicado | Sectores de empleo con reserva o sin cifra: Industria manufacturera, Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06805;Tigre;Comparable a junio de 2026;2026-06-30;Sí;"Caja de libre disponibilidad conciliada, descontando fondos afectados y todas las obligaciones exigibles. | Calendario futuro de capital e intereses, por contrato, moneda y fecha. | Antigüedad y vencimiento de la deuda con proveedores; distinguir pendiente de vencida. | Ingresos y gastos mensuales para ajustar cada flujo fiscal por inflación. | Estado de tesorería y stock completo de pasivos a junio de 2026.";2026-09-09;Cuenta de enero–junio de 2026 conciliada. Se incorporaron historia fiscal, presupuesto, pagos y tesorería. Resultado reconstruido por objeto y programa, con control contra la cuenta anual 2025. Deuda consolidada y flotante al cierre 2025.
06812;Tordillo;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Empleo industrial diciembre de 2025: reservado o sin dato | Cambio industrial 2023–2025: falta al menos un corte publicado | Sectores de empleo con reserva o sin cifra: Servicios, Electircidad, gas y agua;2026-09-07;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06819;Tornquist;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06826;Trenque Lauquen;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06833;Tres Arroyos;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06840;Tres de Febrero;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06847;Tres Lomas;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06854;25 de Mayo;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06861;Vicente López;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06868;Villa Gesell;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06875;Villarino;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06882;Zárate;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
