Código;Municipio;Estado;Cierre incorporado;Cierre comparable;Revisión;Enlace recibido;Cuenta incorporada;PDF distintos recuperados;Observación
06655;Punta Indio;Cuenta no verificada;;;2026-09-07;https://puntaindio.gov.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06658;Quilmes;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://quilmes.gov.ar/institucional/gobierno_abierto.php;https://quilmes.gov.ar/gobierno/informes_financieros.php;15;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06665;Ramallo;Cuenta no verificada;;;2026-09-07;https://www.haciendaramallo.com.ar/?page_id=60;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06672;Rauch;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://www.rauch.mun.gba.gov.ar/web/;http://www.rauch.mun.gba.gov.ar/web/wp-content/uploads/2026/07/SITUACION-ECON-FCIERA-2DO-TRIM-2026.pdf;35;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06679;Rivadavia;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://munirivadavia.gob.ar/gobierno-abierto/;https://munirivadavia.gob.ar/integridad-rendicion-cuentas-publicas/;35;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06686;Rojas;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://transparencia.rojas.gov.ar/?action=9;https://transparencia.rojas.gov.ar/assets/php/finanzas/archivos/0-fin_ecn_trm-ac72f47939d95f5bf8587557a30798d5.pdf;2;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06693;Roque Pérez;Documentos pendientes de verificación;;;2026-09-07;https://roqueperez.gob.ar/situacion-economica-financiera;;6;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06700;Saavedra;Cuenta de otro período;2025-12-30;;2026-09-07;https://transparencia.saavedra.gob.ar/ano-2024/;https://drive.google.com/uc?export=download&id=1a9pxkIUN8Pgn0JEr4sYkw7b-NTVIurRV;12;Cuenta incorporada con cierre al 2025-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06707;Saladillo;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.saladillo.gob.ar/?q=informes_economicos;https://www.saladillo.gob.ar/?q=files/situacioneconomicofinancieradel01-01-2026al30-06-2026pdf;9;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06721;Salliqueló;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.salliquelo.gob.ar;https://salliquelo.gob.ar/tramites/detalle/4-estados-economicos-financieros;4;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06714;Salto;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://salto.gob.ar/responsabilidad-fiscal/;https://salto.gob.ar/responsabilidad-fiscal/;38;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06728;San Andrés de Giles;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.sanandresdegiles.gob.ar/?q=situacion-economica-financiera;https://www.sanandresdegiles.gob.ar/?q=situacion-economica-financiera;38;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06735;San Antonio de Areco;Documentos pendientes de verificación;;;2026-09-07;https://areco.ar/transparencia/presupuestos/;;2;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06742;San Cayetano;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.hcdsancayetano.gob.ar/situacion-economica-financiera.php;https://www.hcdsancayetano.gob.ar/situacion-economica-financiera.php;30;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06749;San Fernando;Cuenta de otro período;2025-12-30;;2026-09-07;https://www.sanfernando.gob.ar/situacion-economico-financiera;https://www.sanfernando.gob.ar/situacion-economico-financiera;2;Cuenta incorporada con cierre al 2025-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06756;San Isidro;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.sanisidro.gob.ar/transparencia-si;https://www.sanisidro.gob.ar/transparencia-si/situacion-economica-financiera;6;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06760;San Miguel;Documentos pendientes de verificación;;;2026-09-07;https://www.msm.gov.ar/areas-gestion-publica/gobierno-abierto/datos-abiertos/;;28;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06763;San Nicolás;Cuenta no verificada;;;2026-09-07;https://www.sannicolasciudad.gob.ar/areas/economia-y-finanzas/presupuesto;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06770;San Pedro;Cuenta no verificada;;;2026-09-07;https://www.sanpedro.net.ar/datos_abiertos/presupuesto.php;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06778;San Vicente;Cuenta no verificada;;;2026-09-07;http://www.sanvicente.gob.ar/situacioneconomicofinanciera/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06784;Suipacha;Cuenta de otro período;2025-12-31;;2026-09-07;https://suipacha.gob.ar/transparencia/;https://suipacha.gob.ar/transparencia/;18;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06791;Tandil;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://datos.tandil.gov.ar/dataset/informacion-financiera-2024;https://autogestion.tandil.gov.ar/apex/f?p=174%3A13%3A%3A%3A%3A%3ACAT_DOC%3A5;21;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06798;Tapalqué;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.municipiodetapalque.gob.ar/;https://www.municipiodetapalque.gob.ar/2026-transparencia;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06805;Tigre;Ejecución presupuestaria parcial;2026-06-30;;2026-09-07;https://www.tigre.gob.ar/gobierno;https://www.tigre.gob.ar/gobierno/informacion_gestion;1;Ejecución presupuestaria disponible. Falta separar las operaciones financieras para calcular un resultado comparable.
06812;Tordillo;Acceso incompleto;;;2026-09-07;https://tordillomunicipio.com/;;0;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06819;Tornquist;Cuenta no verificada;;;2026-09-07;https://tornquist.gob.ar/gobierno-abierto;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06826;Trenque Lauquen;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.trenquelauquen.gov.ar/rendiciones/;https://www.trenquelauquen.gov.ar/wordpress/wp-content/uploads/Situacion-Economica-Financiera-II%C2%B0-trimestre-2026.pdf;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06833;Tres Arroyos;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.tresarroyos.gov.ar/transparencia-fiscal;https://jitsi.tresarroyos.gov.ar/transparencia-fiscal;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06840;Tres de Febrero;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.tresdefebrero.gov.ar/cumplimiento-ley-responsabilidad-fiscal/;https://drive.google.com/uc?export=download&id=19FX8TPMQ9qoUFoJeo202Kqtvsg4MbS4H;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06847;Tres Lomas;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.treslomas.gob.ar/?q=estado-economico;https://www.treslomas.gob.ar/?q=estado-economico;7;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06854;25 de Mayo;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://25demayo.gob.ar/informacion-economico-financiera/;https://25demayo.gob.ar/informacion-economico-financiera-2/;21;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06861;Vicente López;Cuenta no verificada;;;2026-09-07;https://www.vicentelopez.gov.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06868;Villa Gesell;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.gesell.gob.ar/info-util/transparencia-en-la-gestion.html;https://www.gesell.gob.ar/info-util/transparencia-en-la-gestion.html;8;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06875;Villarino;Cuenta no verificada;;;2026-09-07;https://www.villarino.gob.ar/economia/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06882;Zárate;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://zarate.gob.ar/transparencia/;https://zarate.gob.ar/transparencia/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
